Flow 1_74 -- 0.0 -- 68000.0 -- [(306, 2921), (1, 1845001), (2, 1865001), (3, 1885001), (137, 3049)]
Flow 1_75 -- 0.0 -- 68000.0 -- [(306, 2961), (1, 1870001), (2, 1890001), (3, 1910001), (137, 3089)]
Flow 1_76 -- 0.0 -- 68000.0 -- [(306, 3001), (1, 1895001), (2, 1915001), (3, 1935001), (137, 3129)]
Flow 1_77 -- 0.0 -- 68000.0 -- [(306, 3041), (1, 1920001), (2, 1940001), (3, 1960001), (137, 3169)]
Flow 1_78 -- 0.0 -- 68000.0 -- [(306, 3081), (1, 1945001), (2, 1965001), (3, 1985001), (137, 3209)]
Flow 1_79 -- 0.0 -- 68000.0 -- [(306, 3121), (1, 1970001), (2, 1990001), (3, 2010001), (137, 3249)]
Flow 1_80 -- 0.0 -- 68000.0 -- [(306, 3161), (1, 1995001), (2, 2015001), (3, 2035001), (137, 3289)]
Flow 1_81 -- 0.0 -- 68000.0 -- [(306, 3201), (1, 2020001), (2, 2040001), (3, 2060001), (137, 3329)]
Flow 1_82 -- 0.0 -- 68000.0 -- [(306, 3241), (1, 2045001), (2, 2065001), (3, 2085001), (137, 3369)]
Flow 1_83 -- 0.0 -- 68000.0 -- [(306, 3281), (1, 2070001), (2, 2090001), (3, 2110001), (137, 3409)]
Flow 1_84 -- 0.0 -- 68000.0 -- [(306, 3321), (1, 2095001), (2, 2115001), (3, 2135001), (137, 3449)]
Flow 1_85 -- 0.0 -- 68000.0 -- [(306, 3361), (1, 2120001), (2, 2140001), (3, 2160001), (137, 3489)]
Flow 1_86 -- 0.0 -- 68000.0 -- [(306, 3401), (1, 2145001), (2, 2165001), (3, 2185001), (137, 3529)]
Flow 1_87 -- 0.0 -- 68000.0 -- [(306, 3441), (1, 2170001), (2, 2190001), (3, 2210001), (137, 3569)]
Flow 1_88 -- 0.0 -- 68000.0 -- [(306, 3481), (1, 2195001), (2, 2215001), (3, 2235001), (137, 3609)]
Flow 1_89 -- 0.0 -- 68000.0 -- [(306, 3521), (1, 2220001), (2, 2240001), (3, 2260001), (137, 3649)]
Flow 1_90 -- 0.0 -- 68000.0 -- [(306, 3561), (1, 2245001), (2, 2265001), (3, 2285001), (137, 3689)]
Flow 1_91 -- 0.0 -- 68000.0 -- [(306, 3601), (1, 2270001), (2, 2290001), (3, 2310001), (137, 3729)]
Flow 1_92 -- 0.0 -- 68000.0 -- [(306, 3641), (1, 2295001), (2, 2315001), (3, 2335001), (137, 3769)]
Flow 1_93 -- 0.0 -- 68000.0 -- [(306, 3681), (1, 2320001), (2, 2340001), (3, 2360001), (137, 3809)]
Flow 1_94 -- 0.0 -- 68000.0 -- [(306, 3721), (1, 2345001), (2, 2365001), (3, 2385001), (137, 3849)]
Flow 1_95 -- 0.0 -- 68000.0 -- [(306, 3761), (1, 2370001), (2, 2390001), (3, 2410001), (137, 3889)]
Flow 1_96 -- 0.0 -- 68000.0 -- [(306, 3801), (1, 2395001), (2, 2415001), (3, 2435001), (137, 3929)]
Flow 1_97 -- 0.0 -- 68000.0 -- [(306, 3841), (1, 2420001), (2, 2440001), (3, 2460001), (137, 3969)]
Flow 1_98 -- 0.0 -- 68000.0 -- [(306, 3881), (1, 2445001), (2, 2465001), (3, 2485001), (137, 4009)]
Flow 1_99 -- 0.0 -- 68000.0 -- [(306, 3921), (1, 2470001), (2, 2490001), (3, 2510001), (137, 4049)]
Flow 1_100 -- 0.0 -- 68000.0 -- [(306, 3961), (1, 2495001), (2, 2515001), (3, 2535001), (137, 4089)]
Flow 1_101 -- 0.0 -- 68000.0 -- [(306, 4001), (1, 2520001), (2, 2540001), (3, 2560001), (137, 4129)]
Flow 1_102 -- 0.0 -- 68000.0 -- [(306, 4041), (1, 2545001), (2, 2565001), (3, 2585001), (137, 4169)]
Flow 1_103 -- 0.0 -- 68000.0 -- [(306, 4081), (1, 2570001), (2, 2590001), (3, 2610001), (137, 4209)]
Flow 1_104 -- 0.0 -- 68000.0 -- [(306, 4121), (1, 2595001), (2, 2615001), (3, 2635001), (137, 4249)]
Flow 1_105 -- 0.0 -- 68000.0 -- [(306, 4161), (1, 2620001), (2, 2640001), (3, 2660001), (137, 4289)]
Flow 1_106 -- 0.0 -- 68000.0 -- [(306, 4201), (1, 2645001), (2, 2665001), (3, 2685001), (137, 4329)]
Flow 1_107 -- 0.0 -- 68000.0 -- [(306, 4241), (1, 2670001), (2, 2690001), (3, 2710001), (137, 4369)]
Flow 1_108 -- 0.0 -- 68000.0 -- [(306, 4281), (1, 2695001), (2, 2715001), (3, 2735001), (137, 4409)]
Flow 1_109 -- 0.0 -- 68000.0 -- [(306, 4321), (1, 2720001), (2, 2740001), (3, 2760001), (137, 4449)]
Flow 1_110 -- 0.0 -- 68000.0 -- [(306, 4361), (1, 2745001), (2, 2765001), (3, 2785001), (137, 4489)]
Flow 1_111 -- 0.0 -- 68000.0 -- [(306, 4401), (1, 2770001), (2, 2790001), (3, 2810001), (137, 4529)]
Flow 1_112 -- 0.0 -- 68000.0 -- [(306, 4441), (1, 2795001), (2, 2815001), (3, 2835001), (137, 4569)]
Flow 1_113 -- 0.0 -- 68000.0 -- [(306, 4481), (1, 2820001), (2, 2840001), (3, 2860001), (137, 4609)]
Flow 1_114 -- 0.0 -- 68000.0 -- [(306, 4521), (1, 2845001), (2, 2865001), (3, 2885001), (137, 4649)]
Flow 1_115 -- 0.0 -- 68000.0 -- [(306, 4561), (1, 2870001), (2, 2890001), (3, 2910001), (137, 4689)]
Flow 1_116 -- 0.0 -- 68000.0 -- [(306, 4601), (1, 2895001), (2, 2915001), (3, 2935001), (137, 4729)]
Flow 1_117 -- 0.0 -- 68000.0 -- [(306, 4641), (1, 2920001), (2, 2940001), (3, 2960001), (137, 4769)]
Flow 1_118 -- 0.0 -- 68000.0 -- [(306, 4681), (1, 2945001), (2, 2965001), (3, 2985001), (137, 4809)]
Flow 1_119 -- 0.0 -- 68000.0 -- [(306, 4721), (1, 2970001), (2, 2990001), (3, 3010001), (137, 4849)]
Flow 1_120 -- 0.0 -- 68000.0 -- [(306, 4761), (1, 2995001), (2, 3015001), (3, 3035001), (137, 4889)]
Flow 1_121 -- 0.0 -- 68000.0 -- [(306, 4801), (1, 3020001), (2, 3040001), (3, 3060001), (137, 4929)]
Flow 1_122 -- 0.0 -- 68000.0 -- [(306, 4841), (1, 3045001), (2, 3065001), (3, 3085001), (137, 4969)]
